,node_id,X_mean,hih6130_humidity_mean,hih6130_temperature_mean,tmp421_temperature_mean,bmp180_temperature_mean,hih4030_humidity_mean,htu21d_humidity_mean,htu21d_temperature_mean,pr103j2_temperature_mean,tmp112_temperature_mean,tsys01_temperature_mean,at0_temperature_mean,at1_temperature_mean,at2_temperature_mean,at3_temperature_mean,lps25h_temperature_mean,X_num_point,hih6130_humidity_num_point,hih6130_temperature_num_point,tmp421_temperature_num_point,bmp180_temperature_num_point,hih4030_humidity_num_point,htu21d_humidity_num_point,htu21d_temperature_num_point,pr103j2_temperature_num_point,tmp112_temperature_num_point,tsys01_temperature_num_point,at0_temperature_num_point,at1_temperature_num_point,at2_temperature_num_point,at3_temperature_num_point,lps25h_temperature_num_point,X_min,hih6130_humidity_min,hih6130_temperature_min,tmp421_temperature_min,bmp180_temperature_min,hih4030_humidity_min,htu21d_humidity_min,htu21d_temperature_min,pr103j2_temperature_min,tmp112_temperature_min,tsys01_temperature_min,at0_temperature_min,at1_temperature_min,at2_temperature_min,at3_temperature_min,lps25h_temperature_min,X_max,hih6130_humidity_max,hih6130_temperature_max,tmp421_temperature_max,bmp180_temperature_max,hih4030_humidity_max,htu21d_humidity_max,htu21d_temperature_max,pr103j2_temperature_max,tmp112_temperature_max,tsys01_temperature_max,at0_temperature_max,at1_temperature_max,at2_temperature_max,at3_temperature_max,lps25h_temperature_max,5te_soil_temperature_mean,5te_soil_temperature_num_point,5te_soil_temperature_min,5te_soil_temperature_max,project_id,vsn,address,lat,lon,description,start_timestamp,end_timestamp
1,001e061183bf,33925740.76,45.28,12.87,34.84175008,55.40549879,59.9422195,57.7057983,25.48074849,26.4679442,25.88672492,26.60841307,25.18395031,25.53832332,26.23101546,26.75793272,26.81276407,4406369,293900,293900,293901,293901,293900,293900,293900,293900,293901,293901,293473,293473,293473,293473,293473,2,45.28,12.87,20.31,42.5,34.81,9.32,11.18,11.6,11.75,12.13,10.85,11.18,11.92,12.49,11.53,70065804,45.28,12.87,56.81,241,64.62,92.61,37.74,39.2,38.19,39.15,37.08,37.48,38.19,38.72,39.26,NA,NA,NA,NA,AoT_Chicago,11A,ComEd Training Center,41.829806,-87.659467,AoT Chicago (S) [CP] {ComEd},2019/04/25 0:00:00,
2,001e0611462f,33751510.94,99.98918495,124.9815403,-0.04904011393,240.958,64.33903247,118.99,128.8207441,20.26017981,-253.9089955,214.75,NA,NA,NA,NA,NA,3138810,313881,313881,313881,313881,313881,313881,313881,313881,313881,313881,NA,NA,NA,NA,NA,39,65.21,32.64,-0.06,51.3,0.96,118.99,5.42,6.45,-254,214.75,NA,NA,NA,NA,NA,70086168,100,125.01,35.75,241,77.21,118.99,128.86,32.4,29.88,214.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,AoT_Chicago,81,Wallace St & Pershing Rd Chicago IL,41.823527,-87.641054,AoT Chicago (S) [C],2018/02/27 0:00:00,
3,001e061183f3,8576833.854,21.32323956,44.2482132,44.29989912,56.34296066,65.40086669,57.38725658,27.35855278,22.37829234,27.49287565,28.29131948,NA,NA,NA,NA,NA,703833,70383,70383,70384,70383,70383,70383,70383,70383,70384,70384,NA,NA,NA,NA,NA,64,21.17,37.94,30.44,46.5,45.45,22.11,16.74,12.4,16.88,17.44,NA,NA,NA,NA,NA,20806648,39.96,44.3,61.88,241,72.86,103.66,37.01,31.6,37.25,38.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,AoT_Chicago,0B7,103rd & Western Ave Chicago IL,41.706381,-87.681606,AoT Chicago (S) [CP],2019/06/25 0:00:00,
4,001e06113107,33476343.64,42.73567781,33.90352461,31.27099386,34.39918629,65.90475088,70.59858659,25.98022714,26.45368661,26.22402221,26.66738726,25.20934354,25.55575935,26.15133939,26.73969996,-53.80122293,4396376,295193,295193,295131,295192,295124,295193,295193,295122,295191,295192,288930,288930,288930,288930,288930,94,21.47,14.05,13.25,17.6,34.51,2.66,9.22,9.15,9.06,8.97,8.89,8.93,8.97,9.15,-53.87,70086106,84.36,57.3,54.56,47.4,72.41,118.99,39.04,39.75,39.31,39.93,37.91,38.3,38.97,39.62,33.74,160007.5,2,61455,258560,AoT_Chicago,72,7801 S Lawndale Ave Chicago IL,41.751142,-87.71299,AoT Chicago (S) [CA] {ComEd},2017/01/01 0:00:00,
5,001e0610f05c,33742900.01,100,125.01,-0.06,241,68.48342461,118.99,128.86,25.96298647,-254,214.75,NA,NA,NA,NA,NA,3207260,320726,320726,320726,320726,320726,320726,320726,320726,320726,320726,NA,NA,NA,NA,NA,137,100,125.01,-0.06,241,1.56,118.99,128.86,10.2,-254,214.75,NA,NA,NA,NA,NA,70086269,100,125.01,-0.06,241,84.25,118.99,128.86,40,-254,214.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,AoT_Chicago,08C,Western Ave & Fullerton Ave Chicago IL,41.924903,-87.687703,AoT Chicago (S) [C],2018/02/07 0:00:00,
6,001e0611804d,23430809.34,42.85773213,33.94162714,34.14323056,52.97342983,64.40570346,61.34069814,25.05542739,26.31380843,25.35787186,25.87936546,26.25001521,26.68119241,27.32403795,27.85507186,27.71068649,881452,64801,64801,64803,64802,64801,64801,64801,64801,64803,64803,46687,46687,46687,46687,46687,274,29.4,19.35,17.88,41.6,42.75,30.2,12.72,13.6,13.19,13.44,16.74,16.87,16.94,17.05,17.38,70086058,76.15,39.84,54.5,64.5,71.37,93.88,37.15,38.7,37.56,38.29,36.7,37.14,37.8,38.34,38.35,NA,NA,NA,NA,AoT_Chicago,11E,ComEd Training Center,41.829806,-87.659467,AoT Chicago (S) [CP] {ComEd},2019/04/25 0:00:00,
7,001e061184a3,31163558.79,75.76908023,82.8605811,15.49588352,179.2822426,64.55838634,97.05851714,92.76560521,27.15287772,-153.6824724,148.3240957,30.94897596,31.43630454,32.18720392,32.56989314,32.81743544,961415,95578,95578,95584,95577,95578,95579,95579,95579,95585,95583,1123,1123,1123,1123,1123,863,17.48,3.81,-0.06,59.3,40.36,29.45,18.4,15.8,-254,18.68,26.78,27.26,28.01,28.38,28.49,67796702,100,125.01,59.44,241,72.71,118.99,128.86,39.75,37.81,214.75,34.62,35.11,35.88,36.25,36.66,NA,NA,NA,NA,AoT_Chicago,0B4,99th St & Beverly Blvd Chicago IL,41.714021,-87.659612,AoT Chicago (S) [CP],2019/06/25 0:00:00,
8,001e061183f5,37888714.11,39.73743568,37.75259792,34.74100893,42.87695544,60.01062287,67.51960306,24.70551404,25.51565808,24.9688627,25.53239939,25.07267045,25.66965091,26.13993195,26.72977064,27.64316824,2438245,239857,239857,239857,239857,239857,239857,239857,239857,239857,239857,7935,7935,7935,7935,7935,2057631,20.49,19.14,16.19,27.6,30.02,10.61,8.75,9.15,9,9.02,18.81,19.39,19.95,20.6,21.16,70086131,69.32,59.95,56.75,54.9,69.72,115.09,36.86,38.2,37.19,38.04,32.49,33.16,33.67,34.29,34.99,NA,NA,NA,NA,AoT_Chicago,0BF,111th & Michigan Ave Chicago IL,41.692703,-87.62102,AoT Chicago (S) [CP],2019/06/24 0:00:00,
9,001e0610fb4c,49421632.48,NA,NA,NA,NA,78.99386735,NA,NA,22.81642143,NA,NA,NA,NA,NA,NA,NA,61846,NA,NA,NA,NA,30923,NA,NA,30923,NA,NA,NA,NA,NA,NA,NA,5925270,NA,NA,NA,NA,49.2,NA,NA,9.9,NA,NA,NA,NA,NA,NA,NA,70085930,NA,NA,NA,NA,94.89,NA,NA,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AoT_Chicago,04D,Leavitt St & Milwaukee Ave Chicago IL,41.913583,-87.682414,AoT Chicago (S),2017/10/09 0:00:00,
10,001e06118182,50485141.31,27.85822354,40.50570164,37.3074537,42.01957299,73.0488323,56.69059745,23.22104343,23.94512865,23.43180654,23.81456871,19.30345654,19.59801934,20.34511545,20.94262448,21.46669033,701538,54800,54800,54801,54800,54800,54800,54800,54800,54801,54801,30707,30707,30707,30707,30707,18877746,14.34,22.16,19.19,29,52.94,22.66,9.54,9.5,9.75,9.67,9.6,9.9,10.66,11.27,11.06,70086232,65.44,63.54,60.19,54.1,80.8,90.37,35.8,36.75,35.94,36.63,30.76,31.1,31.9,32.51,33.76,NA,NA,NA,NA,AoT_Chicago,0C3,Loomis Ave & 63rd St Chicago IL,41.779593,-87.659354,AoT Chicago (S) [CP],2019/04/25 0:00:00,
