"","i","mean_dist_to_grocery","median_dist_to_grocery","max_dist_to_grocery","min_dist_to_grocery","quartiles_dist_to_grocery_25p","quartiles_dist_to_grocery_50p","quartiles_dist_to_grocery_75p","n_from_pnts","n_from_pnts_no_path"
"1",1,1455.6158744721,1554.59028274189,2051.97040458539,522.915626615124,1211.5549088196,1554.59028274189,1702.71616754428,128,0
"2",2,821.173988279955,856.05377237048,1201.44612352294,408.716806851232,689.820256240164,856.05377237048,948.183290447083,41,0
"3",3,785.991544694904,750.740782227261,2071.31536055991,172.747401294113,498.611356605622,750.740782227261,977.355635827471,55,0
"4",4,556.295538276441,584.8613499304,681.270075223336,269.805952759031,531.655954295873,584.8613499304,625.449328611365,12,0
"5",5,544.089282649398,573.023528178047,989.567826373099,0.82213474292019,435.151094645734,573.023528178047,675.816625936915,64,0
"6",6,1101.31397327446,1060.77729569827,2092.98423483861,634.240120751788,936.640256725246,1060.77729569827,1253.3781100308,81,0
"7",7,373.02798049441,356.294541043882,664.893318963833,58.5038836931909,277.412227653121,356.294541043882,470.825374247879,32,0
"8",8,303.023565162624,307.710658312279,444.567971243079,153.147066553436,214.188014441078,307.710658312279,385.83895963398,8,0
"9",9,1101.94629940904,1111.10665215965,1493.15158343209,606.486357152292,958.156431677592,1111.10665215965,1281.35664067005,40,0
"10",10,611.57107765264,615.815607127166,1195.84684202022,0,402.132154979911,615.815607127166,823.035104555732,64,0
"11",11,475.514828112413,508.014216728887,1030.55326046858,0,303.727034768693,508.014216728887,608.032847322112,37,0
"12",12,841.688040851509,855.503646909522,1234.3606791632,300.055515837834,668.870436655277,855.503646909522,1018.68513110265,43,0
"13",13,668.600608717642,693.754526765937,1553.67267370911,56.6414738448678,454.538518865186,693.754526765937,840.659483438306,32,0
"14",14,1579.68701512144,1582.30171167424,2157.59442778578,970.963428179106,1389.84218316667,1582.30171167424,1773.08188479251,64,0
"15",15,528.142704407996,500.691468878593,968.723413565131,86.0209064381344,309.611871982277,500.691468878593,742.469233455692,32,0
"16",16,873.869252978571,841.12517222601,1272.17584353141,384.692641301196,694.111463414022,841.12517222601,1082.67443100074,32,0
"17",17,613.432122022471,608.502282339568,919.081666667401,395.874708273477,538.242563679778,608.502282339568,681.681712752144,32,0
"18",18,471.905873407543,446.744182879806,860.714709507023,106.457765372946,336.174644967802,446.744182879806,638.764172631942,32,0
"19",19,362.428845652009,359.067840483827,706.911520983065,53.0739626135668,228.110813666639,359.067840483827,506.720287363078,46,0
"20",20,786.663345370692,812.190852048908,1223.72996062932,308.455065462048,684.57797651267,812.190852048908,917.264855538812,32,0
"21",21,854.506950467623,899.208969960028,1463.34861686976,242.433266495795,682.476194621379,899.208969960028,1037.06789132534,97,0
"22",22,288.174933820196,237.553340923794,635.948263752865,12.356533145313,183.655911712758,237.553340923794,400.89858115381,27,0
"23",23,2011.46867933123,2051.78742968952,2444.51650222992,1306.60334909863,1881.87561004568,2051.78742968952,2211.31861283824,68,0
"24",24,376.441322292563,382.823224183682,618.253598113391,46.1404832920918,305.731124485395,382.823224183682,485.881481504943,32,0
"25",25,594.387237497534,619.450312559241,1081.71451839617,70.5609527766256,400.873608614317,619.450312559241,785.594642817976,58,0
"26",26,463.418841214592,502.930747425275,635.322427383183,202.974903508699,374.27650260018,502.930747425275,561.21970980416,22,0
"27",27,678.953042906298,721.17734599763,956.898205398213,240.573847706856,526.099939476636,721.17734599763,839.353482751655,34,0
"28",28,592.386168596741,561.352646356748,1129.31683940237,64.9468974952366,419.445741808042,561.352646356748,781.747925584552,58,0
"29",29,474.726772012828,492.750508422448,983.582967154434,71.730061808488,350.708671637221,492.750508422448,598.7806341336,81,0
"30",30,941.355918880202,985.397441817978,1262.00154965861,453.166837461789,823.968558881338,985.397441817978,1093.94781856293,40,0
"31",31,831.768794624197,813.580867656912,1533.16405144474,285.797670513306,548.387570643543,813.580867656912,1069.04365622723,72,0
"32",32,583.176501510395,568.039279286948,1044.14844349351,129.25211761399,438.666110072068,568.039279286948,685.076360915183,40,0
"33",33,853.419939474088,890.035300579052,1594.86342170775,74.6148732448999,648.414477444397,890.035300579052,1064.15820505424,136,0
"34",34,849.951941537699,917.361224937636,1194.35927281129,0,762.023990071494,917.361224937636,1040.17392085647,81,0
"35",35,890.381221980388,916.589474994043,1488.76724448133,206.624753428459,614.347009754331,916.589474994043,1143.23377067035,65,0
"36",36,776.479730030022,813.58579411095,956.402572824124,487.559109681132,684.575330523792,813.58579411095,869.010566782759,14,0
"37",37,557.886763217116,536.091079578417,875.884969768584,342.270098336831,423.661029248691,536.091079578417,642.201760563094,16,0
"38",38,546.710225607244,541.152670899736,766.788980844618,244.483218946104,470.927806950734,541.152670899736,622.635109463127,40,0
"39",39,582.933418414493,639.788756894386,919.449963930326,136.838673093176,414.61274101369,639.788756894386,744.791418790261,16,0
"40",40,545.371200462421,561.523650204107,950.371618933334,80.1377267841327,355.515593804339,561.523650204107,704.268520935506,30,0
"41",41,1087.66454696426,1126.00827828841,2196.34873104757,50.2040112341792,556.835385423392,1126.00827828841,1547.23923308683,192,0
"42",42,1346.97330237472,1337.95338786189,1807.34373912066,961.4565655725,1157.44647424046,1337.95338786189,1500.93996522632,32,0
"43",43,1317.60120244948,1301.59062074003,2035.43753098633,775.372649880503,1088.68448187161,1301.59062074003,1508.85635559135,64,0
"44",44,1802.34685060098,1793.55163408222,2314.6711898973,1184.25670221045,1598.47182692866,1793.55163408222,2053.82641688,85,0
"45",45,661.975789709704,665.645105921379,947.80409811986,326.055254154955,555.194916049867,665.645105921379,766.860205475947,41,0
"46",46,1124.43662072643,1165.12788104523,1494.46932327817,678.53264246605,977.215724689933,1165.12788104523,1295.88755206297,30,0
"47",47,586.50597331736,627.377551807411,882.971002687186,224.022696049099,414.587424080389,627.377551807411,732.75833578328,32,0
"48",48,966.113651134029,989.080793004951,1268.64542367787,588.602761625707,865.389322417941,989.080793004951,1099.51217469849,24,0
"49",49,768.774727995423,769.414492606662,1045.5193995212,448.610559597512,656.559318575191,769.414492606662,882.168172814637,16,0
"50",50,1333.51454332678,1296.61216684079,1684.34777199507,990.954975228273,1199.41726746701,1296.61216684079,1485.83662304758,35,0
"51",51,1410.57573331747,1481.23746519603,2144.36467075618,234.059920321084,1104.74713742676,1481.23746519603,1748.23181447782,136,0
"52",52,760.119615775887,776.633060103649,1244.32802093834,62.631627923798,592.220882041912,776.633060103649,1001.72927218065,60,0
"53",53,707.657527307352,715.714148823865,867.225916770964,489.215739765064,627.07651897096,715.714148823865,800.297346946246,16,0
"54",54,580.481659864158,563.483742124684,1325.79836991925,28.9663444238487,366.315364362822,563.483742124684,773.678876068142,60,0
"55",55,486.571184015425,488.78668581854,804.64419567019,98.1498993043474,389.150704356889,488.78668581854,611.659270039401,32,0
"56",56,1927.92881710789,1967.03269271554,2224.75572116463,1542.65884343426,1783.255403405,1967.03269271554,2085.2254266223,32,0
"57",57,533.877544195705,550.061362375216,897.490156823128,53.75662559034,392.558087762875,550.061362375216,673.464641680937,64,0
"58",58,646.890630525008,620.333310469386,1215.65467432618,24.2252334537148,427.02643890426,620.333310469386,869.005617249527,94,0
"59",59,514.064790357632,456.446516580006,1193.61877018417,0,328.333585241308,456.446516580006,674.100259170896,105,0
"60",60,627.001442530855,541.799405104984,1286.5578935904,0,364.694143111424,541.799405104984,913.087098445474,48,0
"61",61,700.346026362205,738.513321854201,1099.71775581472,50.6749401363565,553.264604759489,738.513321854201,917.547301293979,72,0
"62",62,607.410281518133,563.279261958884,1221.76854735344,37.7158621817488,412.677817900535,563.279261958884,836.136304703508,59,0
"63",63,1472.59470760729,1462.23084715911,2134.13996732159,751.406028176315,1184.56592389226,1462.23084715911,1824.17009215438,96,3
"64",64,1154.92852670404,1230.72430278988,1962.78954231665,95.9884452950525,855.314476635113,1230.72430278988,1480.59842860606,128,0
"65",65,860.628799050455,849.649434906769,2349.20816337054,56.3639608895349,603.232653777531,849.649434906769,1103.96523946132,279,0
"66",66,1569.45399587472,1612.87402126645,1874.4417141713,897.200361777748,1490.01280102175,1612.87402126645,1719.19477641963,40,0
"67",67,1423.29216532965,1675.17427594427,2151.94196232281,157.45433123751,846.432987971698,1675.17427594427,1912.48046892401,34,3
"68",68,505.516272618704,496.00958606985,1079.95822851581,49.3493072147211,284.354297853376,496.00958606985,697.456935408523,64,0
