"","key","value_mean","value_min","value_max","max_f","min_f","range_f"
"1","20190701",19.8080172101872,19.0061727259439,20.3637179754041,68.65,66.21,2.44000000000001
"2","20190702",20.6937657101823,20.1586834987108,21.0136506066909,69.82,68.29,1.52999999999999
"3","20190703",21.1421850734524,20.5821172139447,21.6844710421204,71.03,69.05,1.98
"4","20190704",20.3177518786673,19.3548274993565,21.1234062575194,70.02,66.84,3.17999999999999
"5","20190705",21.3222172663255,20.6600017547607,21.7540541595737,71.16,69.19,1.97
"6","20190706",21.8920531083689,21.3205679323446,22.2624515744539,72.07,70.38,1.69
"7","20190707",17.1731749717761,16.2792253039435,18.5312940185236,65.36,61.3,4.06
"8","20190708",12.9411615026247,12.3500003814697,14.9944752577445,58.99,54.23,4.76000000000001
"9","20190709",13.9269090535242,12.7929827583899,15.3102913292881,59.56,55.03,4.53
"10","20190710",16.8522200714421,16.3108055005563,17.3236742051407,63.18,61.36,1.82
"11","20190711",18.3072596840568,17.6055816481742,19.2076497802793,66.57,63.69,2.88
"12","20190712",15.5599582605636,14.754406001459,16.5732104142581,61.83,58.56,3.27
"13","20190713",15.1448915996236,14.6568200769577,15.6665108242372,60.2,58.38,1.82
"14","20190714",18.4467414846968,17.521149541579,19.4654341931743,67.04,63.54,3.50000000000001
"15","20190715",18.5817155828776,17.5964075147645,19.6729981253252,67.41,63.67,3.73999999999999
"16","20190716",18.6442337118913,18.1100006103516,19.0463322232221,66.28,64.6,1.68000000000001
"17","20190717",22.0187977635662,21.2115227147756,22.7117468651394,72.88,70.18,2.69999999999999
"18","20190718",21.7684308463596,21.2553604604877,22.3613660884163,72.25,70.26,1.98999999999999
"19","20190719",23.6449001001157,22.8189591912505,24.1961121856954,75.55,73.07,2.48
"20","20190720",24.1794172439466,23.4132727305009,24.7305082095094,76.51,74.14,2.37
"21","20190721",21.8400549932838,20.9106725029952,22.7038679534005,72.87,69.64,3.23
"22","20190722",16.8516391483929,15.7890982759835,18.7286811722454,65.71,60.42,5.28999999999999
"23","20190723",11.1921707273195,10.6700000762939,12.4363072459936,54.39,51.21,3.18
"24","20190724",14.0261648113481,13.7900009155273,14.3373971535927,57.81,56.82,0.990000000000002
"25","20190725",10.7884730484856,10.2200002670288,12.4283647489266,54.37,50.4,3.97
"26","20190726",13.9874762668945,13.5700006484985,14.5426816859029,58.18,56.43,1.75
"27","20190727",16.7725259983447,16.5200004577637,17.0935100515211,62.77,61.74,1.03
"28","20190728",18.0808483184547,17.7920339706254,18.3435906829247,65.02,64.03,0.989999999999995
"29","20190729",18.9496521507373,18.6100006103516,19.2486607538597,66.65,65.5,1.15000000000001
"30","20190730",19.115496540203,17.9589740266193,20.011109152395,68.02,64.33,3.69
"31","20190731",15.0119487449005,14.2202717448747,15.8921704133424,60.61,57.6,3.01
